Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1840.3
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1875.4
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1219.3
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1211
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1209.3
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1213.7
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1238.4
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1254.8
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,23036.1
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,22636.6
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,22244.8
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,21797.8
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,21634.1
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,21524.9
