Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2021,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.061
2022,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.06
2000,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.318
2001,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.343
2002,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.381
2003,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.306
2004,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.324
2005,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.339
2006,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.383
2007,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant United States dollars) [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",2015,2015,0.34
