Year,SDG Series,Type of product,Unit of measure,BASE_PER,Base period,Value
2011,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,23073334.95
2012,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,25286287.72
2013,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,25798023.37
2014,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,26182842.35
2015,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,27546895.04
2016,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,25499521.96
2017,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,26308746.46
2018,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,27113801.57
2019,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,27211235.39
2020,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,30914087.04
2021,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,30355506.56
2022,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,30991557.83866
2023,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,30929996.67493
2000,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,11898287.3505
2001,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,14478830.3026
2002,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,13793391.1115
2003,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,14785313.4349
2004,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,14545277.0505
2005,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,16918872.154
2006,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,18229452.8934
2007,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,17187503.2709
2008,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,15523274.2311
2009,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,15768163.1591
2010,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,19860969.1478
2011,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,18914875.9474
2012,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,21813977.6196
2013,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,21195854.7046
2014,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,19844819.3718
2015,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,21842442.8409
2016,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,18846804.2328
2017,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,17145517.746
2018,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,21152828.4983
2019,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,20130422.6184
2020,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,22059292.565
2021,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,20029554.3952
2022,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,20388642.54553
2023,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,20410511.87827
2000,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,30431286.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,30938479.3
2002,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,32607447.9
2003,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,33784089.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,36737776.4
2005,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,36012359.8
2006,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,33527834.6
2007,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,57820157.4
2008,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,61255272.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,57315267.4
2010,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,58543993.6
2011,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,59631001.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,58349086.8
2013,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,57352361.2
2014,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,58230747.5
2015,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,59208690.3
2016,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,64451205.8
2017,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,60037099.3
2018,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,62955714.2
2019,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,74665245.1
2020,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,85957604.2
2021,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,76208089.7
2022,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,77323294.717
2023,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,76321716.55846
2000,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,14467407.04
2001,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,14529310.44
2002,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,14642166.4
2003,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,14782287.08
2004,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,14913556.84
2005,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,17690310.04
2006,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18345509.2
2007,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18379218.44
2008,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18396363.56
2009,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18383792.76
2010,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18485189.2
2011,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18522175.36
2012,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18329245.2
2013,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18375672.04
2014,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18479543.2
2015,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18497154.76
2016,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18493445.2
2017,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18514129.22989
2018,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18549083.05978
2019,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,18541050.36967
2020,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,17555700.69195
2021,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,17598026.46746
2022,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,17068115.11671
2023,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,16132859.46557
2000,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,213603.911
2001,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,167367.324
2002,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,133700.334
2003,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,111879.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,126909.074
2005,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,161508.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,179542.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,146845.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,143991.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,140896.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,146177.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,190062.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,169596.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,173147.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,187674.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,184514.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,163721.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,150600.0
2018,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,153133.0
2019,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,145481.7268
2020,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,138319.5765
2021,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,145672.97211
2022,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,149546.96016
2023,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,149640.82617
2000,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1073779.75467
2001,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1377242.78003
2002,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1458611.81184
2003,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1318555.57979
2004,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,870234.72927
2005,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,761457.98817
2006,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,708333.75902
2007,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,2413091.42
2008,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,654185.26994
2009,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1316951.91503
2010,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,2147564.25256
2011,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1279276.91543
2012,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,2450856.95335
2013,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,2798148.18786
2014,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,498660.31067
2015,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1875326.39285
2016,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1506856.65862
2017,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1815175.83324
2018,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1593872.54006
2019,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1606283.38772
2020,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1415981.28481
2021,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1466452.14688
2022,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1544465.84832
2023,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,1584981.97954
2000,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,239669.345
2001,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,328088.351
2002,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,471789.935
2003,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,320545.563
2004,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,446688.871
2005,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,298170.557
2006,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,379364.808
2007,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,447202.14
2008,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,415140.324
2009,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,588223.901
2010,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,610498.808
2011,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,246260.51044
2012,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,151195.73882
2013,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1400178.715
2014,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,0.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1565372.248
2016,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1510308.215
2017,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1392887.601
2018,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1176685.268
2019,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1183208.72273
2020,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1187907.01373
2021,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1239005.53181
2022,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1294665.24278
2023,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,1322516.51366
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,834110.40967
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,1049154.42903
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,986821.87684
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,998010.01679
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,423545.85827
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,463287.43117
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,328968.95102
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,1965889.28
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,239044.94594
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,728728.01403
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,1537065.44456
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,1033016.40499
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,2299661.21453
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,1397969.47286
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,498660.31067
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,309954.14485
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,-3451.55638
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,422288.23224
2018,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,417187.27206
2019,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,423074.66498
2020,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,228074.27109
2021,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,227446.61506
2022,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,249800.60554
2023,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,262465.46588
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,40704692.8813
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,39910478.1018
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,11064945.7268
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,8535088.1148
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,10344968.91015
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,14591779.68815
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,16345958.4335
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,19516998.2823
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,19994484.9378
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,25410017.3417
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,30110571.8526
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,24376778.29237
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,35282244.56363
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,42386599.48705
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,43781724.42259
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,55973593.04892
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,49916015.29468
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,43230003.17866
2018,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,54920503.45584
2019,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,55850964.62593
2020,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,55432867.64996
2021,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,58740827.29357
2022,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,60801649.16001
2023,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,61391719.22075
2000,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,2518000.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,2032000.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1592000.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1642000.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,2152000.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1899000.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1810000.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1750000.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1928000.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1766000.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1708000.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,2066000.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,1313000.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,928000.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,470000.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,498000.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,491000.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,463000.0
2018,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,693000.0
2019,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,612000.0
2020,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,822000.0
2021,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,838348.55263
2022,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,834717.21554
2023,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,811359.35029
2000,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,66000.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,66000.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,99000.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,92000.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,108000.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,125000.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,167000.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,151000.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,155000.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,138000.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,236000.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,383000.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,343000.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,379000.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,470000.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,498000.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,491000.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,463000.0
2018,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,693000.0
2019,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,612000.0
2020,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,822000.0
2021,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,838348.55263
2022,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,834717.21554
2023,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,811359.35029
2000,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,2452000.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1966000.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1493000.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1550000.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,2044000.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1774000.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1643000.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1599000.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1773000.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1628000.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,1472000.0
